engine,agents,sessions,motions,actions,narrative,holdsAt,memory
drools,7,1,31,343,91624634,92175,17462384
drools,7,1,52,574,134162390,110603,17725640
drools,7,1,17,189,108344249,119925,17328144
drools,7,1,64,706,178759294,121844,17866952
drools,7,1,6,68,65106196,126347,17230376
drools,7,1,11,123,54572085,177573,17254016
drools,7,1,61,673,210004312,131574,17831664
drools,7,1,41,453,138978641,93193,17594568
drools,7,1,74,816,191402509,104426,18013608
drools,7,1,63,695,164956298,107250,17855184
drools,7,1,18,200,109874527,137097,17340168
drools,7,1,88,970,275624210,115053,18178728
drools,7,1,7,79,55616990,155189,17235504
drools,7,1,89,981,295977747,104705,18190456
drools,7,1,82,904,215467998,91050,18107984
drools,7,1,56,618,201172885,99565,17772712
drools,7,1,73,805,204207498,103968,18001968
drools,7,1,86,948,245026928,106349,18155176
drools,7,1,43,475,143887176,118192,17618032
drools,7,1,78,860,225884970,97236,18060896
drools,7,1,33,365,93399015,99960,17492080
drools,7,1,20,222,82462700,97278,17332016
drools,7,1,97,1069,284814841,119742,18289264
drools,7,1,85,937,246779735,106435,18143208
drools,7,1,47,519,148448498,98566,17665176
drools,7,1,40,442,111905916,91026,17582792
drools,7,1,93,1025,239112055,100590,18237608
drools,7,1,71,783,210410136,111287,17978416
drools,7,1,65,717,186228910,94070,17882928
drools,7,1,49,541,126460437,93040,17690272
drools,7,1,76,838,258762150,125040,18037424
drools,7,1,25,277,79151033,120393,17391664
drools,7,1,42,464,105681282,108560,17606360
drools,7,1,46,508,131070952,100278,17653456
drools,7,1,69,761,199102080,100938,17938128
drools,7,1,79,871,232897385,109582,18072752
drools,7,1,80,882,259441713,120680,18084440
drools,7,1,9,101,46331979,134530,17262040
drools,7,1,100,1102,265499082,95953,18324400
drools,7,1,70,772,190796573,104760,17966640
drools,7,1,5,57,55954137,157297,17225512
drools,7,1,35,387,118488005,97112,17523728
drools,7,1,2,24,32779196,153531,17222920
drools,7,1,14,156,62313874,118102,17289832
drools,7,1,84,926,213749374,110612,18131632
drools,7,1,83,915,225583390,106218,18119792
drools,7,1,34,376,102137113,113945,17503664
drools,7,1,28,310,122674681,103565,17426904
drools,7,1,92,1014,345127160,130257,18225744
drools,7,1,13,145,59954530,168734,17278064
drools,7,1,90,992,254776994,111055,18202280
drools,7,1,8,90,47139473,133134,17248040
drools,7,1,72,794,215094556,124700,17990184
drools,7,1,95,1047,304194322,113480,18261072
drools,7,1,94,1036,282448557,106890,18249240
drools,7,1,16,178,60763612,157761,17315344
drools,7,1,24,266,123484304,92428,17379032
drools,7,1,98,1080,272852202,98560,18301008
drools,7,1,62,684,164033026,134409,17843312
drools,7,1,77,849,323751487,99685,18049424
drools,7,1,21,233,88420908,124552,17846480
drools,7,1,66,728,188843914,109995,18405336
drools,7,1,75,827,323332992,111013,18528328
drools,7,1,81,893,254604463,93458,18598840
drools,7,1,39,431,101380724,110457,18073704
drools,7,1,27,299,75580849,97891,17917872
drools,7,1,32,354,87522580,99107,17976848
drools,7,1,38,420,101583507,104900,18061944
drools,7,1,60,662,152820837,104228,18322440
drools,7,1,30,332,88295754,115407,17953200
drools,7,1,15,167,89886360,123055,17804048
drools,7,1,68,750,210884609,124263,18429056
drools,7,1,53,585,137250994,121168,18239952
drools,7,1,19,211,92327438,149954,17850912
drools,7,1,22,244,72350235,121899,17858224
drools,7,1,29,321,98478611,118025,17941512
drools,7,1,3,35,39929470,150484,17725072
drools,7,1,36,398,124870401,101300,18038136
drools,7,1,67,739,217965480,98325,18417352
drools,7,1,54,596,150789121,102727,18251928
drools,7,1,59,651,189605128,103361,18310856
drools,7,1,4,46,34456228,122213,17718904
drools,7,1,37,409,138562896,109165,18050184
drools,7,1,12,134,57420760,130810,17768592
drools,7,1,45,497,124814197,101105,18144464
drools,7,1,26,288,81809951,113737,17906104
drools,7,1,10,112,81169339,129433,17745144
drools,7,1,48,530,142041396,108003,18179792
drools,7,1,50,552,136950909,101063,18204728
drools,7,1,55,607,172511324,95888,18263672
drools,7,1,57,629,161664025,100801,18287312
drools,7,1,91,1003,285559914,115117,18716656
drools,7,1,1,13,26032740,147924,17737360
drools,7,1,33,365,130845444,106175,17994528
drools,7,1,18,200,85746376,126847,17843048
drools,7,1,46,508,129344192,106068,18156096
drools,7,1,28,310,115837601,115970,17929648
drools,7,1,79,871,227950110,107750,18575240
drools,7,1,3,35,41571962,161084,17724976
drools,7,1,93,1025,293383500,101315,18740208
drools,7,1,38,420,177947250,107340,18063832
drools,7,1,74,816,218680144,112667,18518144
drools,7,1,68,750,179028593,109748,18430792
drools,7,1,91,1003,242938199,108411,18718376
drools,7,1,50,552,142442767,100203,18206544
drools,7,1,19,211,74838377,182029,17852616
drools,7,1,76,838,206000231,124100,18541840
drools,7,1,97,1069,270310077,93881,18793728
drools,7,1,87,959,280940706,108203,18671456
drools,7,1,59,651,170837052,129289,18312608
drools,7,1,86,948,269380356,102938,18659488
drools,7,1,21,233,76542145,106940,17848128
drools,7,1,6,68,41492551,147776,17734872
drools,7,1,66,728,163554100,91838,18407384
drools,7,1,64,706,238557865,110280,18371552
drools,7,1,9,101,44701620,163955,17766528
drools,7,1,63,695,206719576,93488,18359584
drools,7,1,4,46,36134878,116276,17720808
drools,7,1,95,1047,311767153,101395,18765608
drools,7,1,71,783,188670030,103733,18482808
